dateDiff,ranking,description,channel,startTime,rLength,rateInK
2025-05-18T00:00:00.000000,1,DE MOL,PLAY4,20:00:03,01:05:27,1.026.738
2025-05-18T00:00:00.000000,2,CHATEAU PLANCKAERT,VRT 1,20:04:12,00:41:41,832.797
2025-05-18T00:00:00.000000,3,HET 7 UUR-JOURNAAL,VRT 1,19:00:09,00:23:09,743.731
2025-05-18T00:00:00.000000,4,SPORTWEEKEND,VRT 1,19:23:32,00:34:04,717.046
2025-05-18T00:00:00.000000,5,DANCING WITH THE STARS,VTM,19:58:52,01:37:53,678.050
2025-05-18T00:00:00.000000,6,FLIKKEN MAASTRICHT,VRT 1,20:47:54,00:49:03,518.866
2025-05-18T00:00:00.000000,7,NIEUWS 19U VTM,VTM,18:59:48,00:47:14,481.123
2025-05-18T00:00:00.000000,8,HET 1 UUR-JOURNAAL,VRT 1,13:00:05,00:29:02,373.388
2025-05-18T00:00:00.000000,9,"JONAS & JELLE, FROM ZERO TO HERO",VTM2,21:59:22,00:57:57,297.267
2025-05-18T00:00:00.000000,10,DAGELIJKSE KOST,VRT 1,18:10:55,00:45:32,249.029
2025-05-18T00:00:00.000000,11,DE ZEVENDE DAG,VRT 1,11:00:15,01:57:25,240.211
2025-05-18T00:00:00.000000,12,ALLOO BIJ DE VERKEERSPOLITIE,VTM,22:03:22,00:53:24,231.551
2025-05-18T00:00:00.000000,13,NIEUWS 13U VTM,VTM,12:59:44,00:40:28,221.932
2025-05-18T00:00:00.000000,14,DE IDEALE WERELD,VRT 1,21:38:54,00:37:54,212.453
2025-05-18T00:00:00.000000,15,APPLES NEVER FALL,VRT CANVAS,20:00:09,00:42:48,208.880
2025-05-18T00:00:00.000000,16,KOP OVER KOP,EUROSPORT 1 (NL),17:26:50,00:36:21,195.482
2025-05-18T00:00:00.000000,17,HET JOURNAAL LAAT,VRT 1,22:20:07,00:16:47,184.427
2025-05-18T00:00:00.000000,18,SPORTS LATE NIGHT,PLAY4,22:18:07,00:54:01,171.901
2025-05-18T00:00:00.000000,19,GIRO MAGAZINE,VRT 1,22:41:41,00:19:10,165.839
2025-05-18T00:00:00.000000,20,CYCL. GIRO D'ITALIA,EUROSPORT 1 (NL),12:35:35,04:16:58,152.270
2019-11-01T00:00:00.000000,1,THUIS,EEN,20:05:31,00:24:52,1.087.066
2019-11-01T00:00:00.000000,2,HET 7 UUR-JOURNAAL,EEN,19:00:05,00:37:09,930.132
2019-11-01T00:00:00.000000,3,BELGIUM'S GOT TALENT,VTM,20:40:16,01:33:58,904.431
2019-11-01T00:00:00.000000,4,IEDEREEN BEROEMD,EEN,19:38:17,00:21:12,822.392
2019-11-01T00:00:00.000000,5,BLOKKEN,EEN,18:30:23,00:26:49,669.543
2019-11-01T00:00:00.000000,6,LONDON KILLS,EEN,20:33:15,01:30:10,601.062
2019-11-01T00:00:00.000000,7,FAMILIE,VTM,20:01:47,00:24:34,566.081
2019-11-01T00:00:00.000000,8,NIEUWS 19U VTM,VTM,18:59:57,00:51:06,561.656
2019-11-01T00:00:00.000000,9,VELDRIJDEN. KOPPENBERG H.,EEN,14:57:20,01:29:41,534.505
2019-11-01T00:00:00.000000,10,HET 1 UUR-JOURNAAL,EEN,13:00:07,00:27:01,468.250
2019-11-01T00:00:00.000000,11,SPORZA,EEN,13:32:59,00:23:05,441.356
2019-11-01T00:00:00.000000,12,VELDRIJDEN. KOPPENBERG D.,EEN,13:42:15,01:01:50,438.430
2019-11-01T00:00:00.000000,13,WITSE,EEN,17:13:21,00:49:24,346.045
2019-11-01T00:00:00.000000,14,DE BUURTPOLITIE,VTM,18:18:44,00:27:54,316.677
2019-11-01T00:00:00.000000,15,THE GOOD DOCTOR,VTM,22:41:27,00:40:49,297.657
2019-11-01T00:00:00.000000,16,NIEUWS 13U VTM,VTM,12:59:54,00:24:08,291.495
2019-11-01T00:00:00.000000,17,POLDARK,EEN,22:06:09,00:58:08,260.540
2019-11-01T00:00:00.000000,18,HET JOURNAAL LAAT,EEN,23:07:04,00:17:01,221.251
2019-11-01T00:00:00.000000,19,NEIGHBOURS,EEN,16:51:01,00:21:46,200.348
2019-11-01T00:00:00.000000,20,DE SLIMSTE MENS TER WERELD,VIER,16:46:20,00:55:15,144.291
2019-11-02T00:00:00.000000,1,HET 7 UUR-JOURNAAL,EEN,19:00:06,00:31:37,828.012
2019-11-02T00:00:00.000000,2,COMEDY TOPPERS,VTM,19:52:48,00:24:30,626.431
2019-11-02T00:00:00.000000,3,NIEUWS 19U VTM,VTM,18:59:54,00:41:50,564.108
2019-11-02T00:00:00.000000,4,WAT EEN JAAR,VTM,20:28:07,00:52:35,550.717
2019-11-02T00:00:00.000000,5,FC DE KAMPIOENEN,EEN,20:48:29,00:33:55,517.856
2019-11-02T00:00:00.000000,6,IEDEREEN BEROEMD,EEN,19:38:05,00:30:08,473.613
2019-11-02T00:00:00.000000,7,THE SECRET LIFE OF THE ZOO,EEN,20:16:30,00:29:11,439.196
2019-11-02T00:00:00.000000,8,THE PROPOSAL,VTM,21:38:24,01:41:37,368.629
2019-11-02T00:00:00.000000,9,ONE IN A THOUSAND,EEN,18:13:46,00:43:56,342.446
2019-11-02T00:00:00.000000,10,HET 1 UUR-JOURNAAL,EEN,13:00:06,00:23:55,329.400
2019-11-02T00:00:00.000000,11,SILENT WITNESS,CANVAS,20:37:30,01:36:57,290.425
2019-11-02T00:00:00.000000,12,ALLIED,EEN,21:26:13,01:52:40,281.019
2019-11-02T00:00:00.000000,13,WITSE,EEN,16:37:15,00:52:34,275.136
2019-11-02T00:00:00.000000,14,BEESTIG,VTM,18:22:37,00:25:14,271.074
2019-11-02T00:00:00.000000,15,SPORTS LATE NIGHT,VIER,22:56:58,00:58:07,246.006
